"","case_id","continuous_treat","binary_treat"
"125","303025740128",6,1
"126","303025740138",6,1
"127","303025740148",6,1
"128","303025740158",6,1
"129","303045750002",0,0
"130","303045750005",0,0
"131","303045750007",0,0
"132","303045750013",0,0
"133","303045750015",0,0
"134","303045750018",0,0
"135","303045750023",0,0
"136","303045750026",0,0
"137","303045750028",0,0
"138","303045750034",0,0
"139","303045750036",0,0
"140","303045750039",0,0
"141","303045750044",0,0
"142","303045750046",0,0
"143","303045750048",0,0
"144","303045750053",0,0
"145","303045760002",0,0
"146","303045760012",0,0
"147","303045760023",0,0
"148","303045760034",0,0
"149","303045760045",0,0
"150","303045760055",0,0
"151","303045760066",0,0
"152","303045760077",0,0
"153","303045760088",0,0
"154","303045760098",0,0
"155","303045760109",0,0
"156","303045760120",0,0
"157","303045760131",0,0
"158","303045760141",0,0
"159","303045760152",0,0
"160","303045760163",0,0
"161","303045770015",0,0
"162","303045770031",0,0
"163","303045770046",0,0
"164","303045770059",0,0
"165","303045770076",0,0
"166","303045770092",0,0
"167","303045770122",0,0
"168","303045770138",0,0
"169","303045770153",0,0
"170","303045770168",0,0
"171","303045770184",0,0
"172","303045770199",0,0
"173","303045770214",0,0
"174","303045770229",0,0
"175","303045770245",0,0
"176","303045770275",0,0
"177","303055780023",0,0
"178","303055780050",0,0
"179","303055780065",0,0
"180","303055780103",0,0
"181","303055780129",0,0
"182","303055780150",0,0
"183","303055780156",0,0
"184","303055780183",0,0
"185","303055780209",0,0
"186","303055780236",0,0
"187","303055780262",0,0
"188","303055780289",0,0
"189","303055780315",0,0
"190","303055780342",0,0
"191","303055780368",0,0
"192","303055780395",0,0
"193","303055790017",0,0
"194","303055790034",0,0
"195","303055790050",0,0
"196","303055790085",0,0
"197","303055790101",0,0
"198","303055790118",0,0
"199","303055790152",0,0
"200","303055790169",0,0
"201","303055790186",0,0
"202","303055790220",0,0
"203","303055790237",0,0
"204","303055790254",0,0
"205","303055790287",0,0
"206","303055790304",0,0
"207","303055790321",0,0
"208","303055790354",0,0
"209","303055800023",0,0
"210","303055800024",0,0
"211","303055800048",0,0
"212","303055800060",0,0
"213","303055800064",0,0
"214","303055800073",0,0
"215","303055800085",0,0
"216","303055800097",0,0
"217","303055800110",0,0
"218","303055800122",0,0
"219","303055800135",0,0
"220","303055800147",0,0
"221","303055800160",0,0
"222","303055800172",0,0
"223","303055800185",0,0
"224","303055800197",0,0
"225","303055810021",0,0
"226","303055810032",0,0
"227","303055810044",0,0
"228","303055810055",0,0
"229","303055810066",0,0
"230","303055810076",0,0
"231","303055810100",0,0
"232","303055810110",0,0
"233","303055810121",0,0
"234","303055810144",0,0
"235","303055810155",0,0
"236","303055810165",0,0
