"","X","case_id","year2020","continuous_treat","binary_treat","withdraw_school","agri_hours_worked","cereal_consump","roots_consump","nuts_consump","vegetables_consump","meatfish_consump","fruit_consump","milk_consump","fats_consump","sugar_consump","spices_consump","days_ate","religion","own_nonagri_business","perception_food","perception_housing","perception_clothing","perception_healthcare","floods","urban","district","sdate","smonth","syear","real_annual_consump","health_consump","drugs_consump","outpatient_consump","hospitalization_consump","dist_road","dist_popcenter","wetness_index","annual_mean_temp","annual_precipitation","ill_2wks","year_cont","cant_feed_fam","did","illness_cause_1","illness_cause_2","loss_after_death","loss_value","died_from_illness","stop_activities_past_week","anyone_else_stop_activities","spending_4wks_illnesses","hosp_12mnths","cost_hosp","borrow_sell_fund_treatment","lat","long","binary_treat_nann","site_id","site_type","site_is_health_center","site_accessibility","site_number_of_IDPs","binary_treat_nann_4km","site_id_of_nearest_4km","binary_treat_nann_3km","site_id_of_nearest_3km","binary_treat_nann_2km","site_id_of_nearest_2km","binary_treat_nann_6km","site_id_of_nearest_6km","binary_treat_nann_7km","site_id_of_nearest_7km","binary_treat_nann_10km","site_id_of_nearest_10km","hh_size","highest_educ"
"1218",1218,311047630225,0,5,1,0,18,7,0,4,4,2,1,0,5,1,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,1,0,"Nsanje",16,"February",2017,520785.65625,22963.796875,4934.36962890625,0,18029.427734375,19,59,13,256,854,1,2016,1,0,"3",NA,0,NA,1,NA,NA,0,0,NA,NA,-16.421608,35.189122,TRUE,"NS_007","Community Center",0,1,2265,1,"NS_007",1,"NS_007",0,NA,1,"NS_007",1,"NS_007",1,"NS_007",3,NA
"1219",1219,311047640006,0,7,1,0,0,7,0,0,2,2,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",29,"April",2017,289697.25,0,0,0,0,18,58,14,257,843,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.4184,35.126675,TRUE,"NS_005","Community Center",0,1,289,1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,NA
"1220",1220,311047640015,0,7,1,1,22,7,0,5,3,0,0,0,1,1,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",28,"April",2017,323367.6875,5856.8447265625,5856.8447265625,0,0,18,58,15,257,843,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.4184,35.126675,TRUE,"NS_005","Community Center",0,1,289,1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",5,NA
"1221",1221,311047640024,0,7,1,0,23,7,0,0,7,0,0,0,2,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",28,"April",2017,517063.6875,201735.75,19522.81640625,117136.890625,65076.05078125,18,58,22,257,843,1,2016,1,0,NA,NA,0,NA,0,NA,NA,6000,1,NA,0,-16.4184,35.126675,TRUE,"NS_005","Community Center",0,1,289,1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",2,NA
"1222",1222,311047640033,0,7,1,0,0,7,0,3,4,0,0,0,1,0,7,7,"christianity",0,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",29,"April",2017,180427.265625,0,0,0,0,18,58,13,257,843,1,2016,0,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.4184,35.126675,TRUE,"NS_005","Community Center",0,1,289,1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",2,NA
"1223",1223,311047640042,0,7,1,0,14,7,0,2,3,0,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",29,"April",2017,331158.8125,95011.0390625,3904.56323242188,91106.4765625,0,18,58,23,257,843,NA,2016,1,0,NA,NA,0,NA,0,NA,NA,7000,0,NA,NA,-16.4184,35.126675,TRUE,"NS_005","Community Center",0,1,289,1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",3,NA
"1224",1224,311047640051,0,7,1,0,0,7,0,1,6,0,0,0,0,0,7,7,"none",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",29,"April",2017,497116.84375,360020.75,0,312365.0625,47655.6953125,18,58,22,257,843,1,2016,1,0,NA,NA,0,NA,0,NA,NA,37300,1,NA,1,-16.4184,35.126675,TRUE,"NS_005","Community Center",0,1,289,1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",2,NA
"1225",1225,311047640060,0,7,1,0,20,7,1,3,3,2,2,0,6,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",28,"April",2017,343307.3125,1301.52099609375,1301.52099609375,0,0,18,58,14,256,850,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.4184,35.126675,TRUE,"NS_005","Community Center",0,1,289,1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",3,NA
"1226",1226,311047640069,0,7,1,0,23,7,0,2,5,0,0,0,2,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",28,"April",2017,297305.96875,50759.3203125,0,50759.3203125,0,18,58,16,257,843,1,2016,1,0,NA,NA,0,NA,0,NA,NA,3900,0,NA,NA,-16.4184,35.126675,TRUE,"NS_005","Community Center",0,1,289,1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",6,NA
"1227",1227,311047640078,0,7,1,0,16,7,0,0,7,0,0,0,1,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",28,"April",2017,305302.375,3904.56323242188,3904.56323242188,0,0,18,58,13,257,843,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.4184,35.126675,TRUE,"NS_005","Community Center",0,1,289,1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",5,NA
"1228",1228,311047640087,0,7,1,0,32,7,0,2,7,0,1,0,5,7,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",1,0,0,"Nsanje",28,"April",2017,386327.34375,2603.0419921875,2603.0419921875,0,0,18,58,15,257,843,1,2016,1,0,"19",NA,0,NA,1,NA,NA,0,0,NA,NA,-16.4184,35.126675,TRUE,"NS_005","Community Center",0,1,289,1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",2,NA
"1229",1229,311047640096,0,7,1,0,72,7,2,2,4,0,0,0,NA,NA,7,3.5,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",29,"April",2017,217800.25,9110.6474609375,9110.6474609375,0,0,18,58,15,257,843,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.4184,35.126675,TRUE,"NS_005","Community Center",0,1,289,1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",2,NA
"1230",1230,311047640105,0,7,1,1,53,7,2,0,4,4,0,0,4,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",29,"April",2017,768184.125,2603.0419921875,2603.0419921875,0,0,18,58,13,257,843,1,2016,1,0,"17",NA,0,NA,1,NA,NA,0,0,NA,NA,-16.4184,35.126675,TRUE,"NS_005","Community Center",0,1,289,1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",6,NA
"1231",1231,311047640114,0,7,1,0,10,7,2,2,3,2,2,2,2,5,7,7,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",2,0,0,"Nsanje",28,"April",2017,535185.25,0,0,0,0,18,58,15,257,843,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.4184,35.126675,TRUE,"NS_005","Community Center",0,1,289,1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",3,NA
"1232",1232,311047640123,0,7,1,1,0,5,0,0,4,3,0,0,2,0,7,7,"none",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",28,"April",2017,304589.3125,0,0,0,0,18,58,14,257,843,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.4184,35.126675,TRUE,"NS_005","Community Center",0,1,289,1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",4,NA
"1233",1233,311047640132,0,7,1,1,5,7,1,2,4,2,1,0,4,2,7,7,"christianity",0,"It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",29,"April",2017,643332.0625,17120.0078125,15618.2529296875,1501.75500488281,0,18,58,13,257,843,1,2016,0,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.4184,35.126675,TRUE,"NS_005","Community Center",0,1,289,1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",5,NA
"1234",1234,311047640141,0,7,1,0,10,7,0,0,5,2,2,0,4,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",29,"April",2017,467067.9375,71583.65625,0,71583.65625,0,18,58,15,257,843,1,2016,1,0,NA,NA,0,NA,0,NA,NA,5500,0,NA,NA,-16.4184,35.126675,TRUE,"NS_005","Community Center",0,1,289,1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",1,"NS_005",4,NA
"1235",1235,311047650015,0,5,1,0,0,5,2,0,4,3,0,0,4,3,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",3,0,0,"Nsanje",14,"December",2016,655211.3125,2468.29418945312,2468.29418945312,0,0,19,58,12,254,880,1,2016,0,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.386542,35.141033,TRUE,"NS_029","Community Center",0,1,406,1,"NS_029",1,"NS_029",0,NA,1,"NS_029",1,"NS_029",1,"NS_029",2,NA
"1236",1236,311047650031,0,5,1,0,21,5,3,2,2,3,0,3,3,3,2,4.66666666666667,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",13,"December",2016,543590.4375,236956.234375,45663.44140625,191292.796875,0,19,58,11,254,880,1,2016,1,0,NA,NA,0,NA,0,NA,NA,10500,0,NA,NA,-16.386542,35.141033,TRUE,"NS_029","Community Center",0,1,406,1,"NS_029",1,"NS_029",0,NA,1,"NS_029",1,"NS_029",1,"NS_029",6,NA
"1237",1237,311047650046,0,5,1,0,60,7,2,0,7,3,1,0,7,6,7,7,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",2,0,0,"Nsanje",13,"December",2016,864791.8125,35790.265625,0,35790.265625,0,19,58,11,254,880,1,2016,1,0,NA,NA,0,NA,0,NA,NA,2900,0,NA,NA,-16.386542,35.141033,TRUE,"NS_029","Community Center",0,1,406,1,"NS_029",1,"NS_029",0,NA,1,"NS_029",1,"NS_029",1,"NS_029",6,NA
"1238",1238,311047650078,0,5,1,0,0,7,3,4,7,3,2,4,7,7,7,7,"christianity",0,"It was more than adequate for household needs","It was more than adequate for household needs","It was more than adequate for household needs",1,0,0,"Nsanje",13,"December",2016,3346176,74048.8203125,0,74048.8203125,0,18,57,13,255,861,1,2016,0,0,NA,NA,0,NA,0,10,5,6000,0,NA,NA,-16.386542,35.141033,TRUE,"NS_029","Community Center",0,1,406,1,"NS_029",1,"NS_029",0,NA,1,"NS_029",1,"NS_029",1,"NS_029",2,NA
"1239",1239,311047650093,0,5,1,0,8,5,0,0,5,2,2,2,3,2,2,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",14,"December",2016,163333.171875,0,0,0,0,18,58,13,254,880,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.386542,35.141033,TRUE,"NS_029","Community Center",0,1,406,1,"NS_029",1,"NS_029",0,NA,1,"NS_029",1,"NS_029",1,"NS_029",1,NA
