"","X","case_id","year2020","continuous_treat","binary_treat","withdraw_school","agri_hours_worked","cereal_consump","roots_consump","nuts_consump","vegetables_consump","meatfish_consump","fruit_consump","milk_consump","fats_consump","sugar_consump","spices_consump","days_ate","religion","own_nonagri_business","perception_food","perception_housing","perception_clothing","perception_healthcare","floods","urban","district","sdate","smonth","syear","real_annual_consump","health_consump","drugs_consump","outpatient_consump","hospitalization_consump","dist_road","dist_popcenter","wetness_index","annual_mean_temp","annual_precipitation","ill_2wks","year_cont","cant_feed_fam","did","illness_cause_1","illness_cause_2","loss_after_death","loss_value","died_from_illness","stop_activities_past_week","anyone_else_stop_activities","spending_4wks_illnesses","hosp_12mnths","cost_hosp","borrow_sell_fund_treatment","lat","long","binary_treat_nann","site_id","site_type","site_is_health_center","site_accessibility","site_number_of_IDPs","binary_treat_nann_4km","site_id_of_nearest_4km","binary_treat_nann_3km","site_id_of_nearest_3km","binary_treat_nann_2km","site_id_of_nearest_2km","binary_treat_nann_6km","site_id_of_nearest_6km","binary_treat_nann_7km","site_id_of_nearest_7km","binary_treat_nann_10km","site_id_of_nearest_10km","hh_size","highest_educ"
"1240",1240,311047650108,0,5,1,0,0,7,3,3,3,2,0,0,2,0,7,6,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",13,"December",2016,982327.375,154268.375,9873.1767578125,144395.203125,0,18,57,11,254,880,1,2016,1,0,NA,NA,0,NA,0,NA,NA,9700,0,NA,NA,-16.386542,35.141033,TRUE,"NS_029","Community Center",0,1,406,1,"NS_029",1,"NS_029",0,NA,1,"NS_029",1,"NS_029",1,"NS_029",7,NA
"1241",1241,311047650141,0,5,1,0,12,7,3,3,7,1,7,0,5,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",2,0,0,"Nsanje",14,"December",2016,572368.125,9873.1767578125,1234.14709472656,8639.029296875,0,18,57,12,255,861,1,2016,1,0,NA,NA,0,NA,0,NA,NA,700,0,NA,NA,-16.386542,35.141033,TRUE,"NS_029","Community Center",0,1,406,1,"NS_029",1,"NS_029",0,NA,1,"NS_029",1,"NS_029",1,"NS_029",5,NA
"1242",1242,311047650156,0,5,1,0,12,7,2,2,3,2,7,2,7,0,7,7,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",2,0,0,"Nsanje",14,"December",2016,123388.1171875,0,0,0,0,18,57,13,255,861,0,2016,0,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.386542,35.141033,TRUE,"NS_029","Community Center",0,1,406,1,"NS_029",1,"NS_029",0,NA,1,"NS_029",1,"NS_029",1,"NS_029",1,NA
"1243",1243,311047650171,0,5,1,0,0,7,4,3,6,4,7,5,7,7,7,7,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",3,0,0,"Nsanje",14,"December",2016,1993192,152540.578125,67878.0859375,84662.4921875,0,18,57,15,254,880,1,2016,1,0,NA,NA,0,NA,0,NA,NA,6360,0,NA,NA,-16.386542,35.141033,TRUE,"NS_029","Community Center",0,1,406,1,"NS_029",1,"NS_029",0,NA,1,"NS_029",1,"NS_029",1,"NS_029",4,NA
"1244",1244,311047650203,0,5,1,0,23,7,4,7,7,4,7,0,7,3,7,7,"christianity",0,"It was just adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",2,0,0,"Nsanje",13,"December",2016,1388123.375,46897.5859375,2468.29418945312,44429.29296875,0,18,57,18,254,882,1,2016,1,0,"11",NA,0,NA,1,NA,NA,3600,0,NA,NA,-16.386542,35.141033,TRUE,"NS_029","Community Center",0,1,406,1,"NS_029",1,"NS_029",0,NA,1,"NS_029",1,"NS_029",1,"NS_029",7,NA
"1245",1245,311047650218,0,5,1,1,15,7,0,2,3,2,1,0,3,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",1,0,0,"Nsanje",14,"December",2016,420226.5625,93747.703125,0,74048.8203125,19698.88671875,17,56,12,255,858,1,2016,1,0,"19",NA,0,NA,1,NA,NA,3700,1,NA,1,-16.386542,35.141033,TRUE,"NS_029","Community Center",0,1,406,1,"NS_029",1,"NS_029",0,NA,1,"NS_029",1,"NS_029",1,"NS_029",4,NA
"1246",1246,311047650234,0,5,1,0,30,7,1,2,7,1,1,0,7,7,7,7,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",2,0,0,"Nsanje",14,"December",2016,568451.0625,15426.837890625,0,15426.837890625,0,18,57,15,255,861,1,2016,1,0,NA,NA,0,NA,0,NA,NA,1250,0,NA,NA,-16.386542,35.141033,TRUE,"NS_029","Community Center",0,1,406,1,"NS_029",1,"NS_029",0,NA,1,"NS_029",1,"NS_029",1,"NS_029",2,NA
"1247",1247,311047650264,0,5,1,0,20,5,2,3,4,3,0,0,4,5,6,7,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",2,0,0,"Nsanje",14,"December",2016,951045.25,0,0,0,0,18,57,13,254,880,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.386542,35.141033,TRUE,"NS_029","Community Center",0,1,406,1,"NS_029",1,"NS_029",0,NA,1,"NS_029",1,"NS_029",1,"NS_029",1,NA
"1248",1248,311047650279,0,5,1,0,30,4,0,3,5,1,0,0,3,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",13,"December",2016,232551.203125,3702.44116210938,3702.44116210938,0,0,18,57,12,255,861,1,2016,1,0,NA,NA,0,NA,0,3,3,0,0,NA,NA,-16.386542,35.141033,TRUE,"NS_029","Community Center",0,1,406,1,"NS_029",1,"NS_029",0,NA,1,"NS_029",1,"NS_029",1,"NS_029",1,NA
"1249",1249,311047650295,0,5,1,0,21,7,5,2,3,1,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",2,0,0,"Nsanje",13,"December",2016,404377.46875,1898.68774414062,0,0,1898.68774414062,18,57,14,255,861,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.386542,35.141033,TRUE,"NS_029","Community Center",0,1,406,1,"NS_029",1,"NS_029",0,NA,1,"NS_029",1,"NS_029",1,"NS_029",3,NA
"1250",1250,311047650325,0,5,1,0,0,7,2,0,4,2,1,3,5,7,7,7,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",2,0,0,"Nsanje",14,"December",2016,1236559.75,2468.29418945312,2468.29418945312,0,0,18,57,13,255,861,1,2016,1,0,NA,NA,0,NA,0,2,0,0,0,NA,NA,-16.386542,35.141033,TRUE,"NS_029","Community Center",0,1,406,1,"NS_029",1,"NS_029",0,NA,1,"NS_029",1,"NS_029",1,"NS_029",1,NA
"1251",1251,311047660011,0,0,0,0,23,7,0,1,7,0,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",1,0,0,"Nsanje",12,"April",2017,324306.5625,1301.52099609375,1301.52099609375,0,0,18,51,13,253,890,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.483227,35.240196,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,1,"NS_018",1,"NS_018",6,NA
"1252",1252,311047660024,0,0,0,0,24,7,0,1,7,1,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",12,"April",2017,260415.59375,1301.52099609375,1301.52099609375,0,0,19,51,16,253,890,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.483227,35.240196,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,1,"NS_018",1,"NS_018",6,NA
"1253",1253,311047660037,0,0,0,0,8,7,0,0,7,0,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",11,"April",2017,314874.3125,0,0,0,0,18,50,13,253,890,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.483227,35.240196,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,1,"NS_018",1,"NS_018",3,NA
"1254",1254,311047660049,0,0,0,1,44,7,0,0,5,1,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",11,"April",2017,427448.625,650.760498046875,650.760498046875,0,0,16,49,13,255,871,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.483227,35.240196,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,1,"NS_018",1,"NS_018",6,NA
"1255",1255,311047660062,0,0,0,0,17,7,0,4,3,0,0,0,4,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",12,"April",2017,202528.546875,0,0,0,0,17,49,14,255,871,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.483227,35.240196,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,1,"NS_018",1,"NS_018",4,NA
"1256",1256,311047660075,0,0,0,0,31,7,0,0,4,1,0,0,1,1,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",11,"April",2017,269274.125,0,0,0,0,19,51,13,254,884,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.483227,35.240196,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,1,"NS_018",1,"NS_018",4,NA
"1257",1257,311047660088,0,0,0,0,18,7,0,0,6,0,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",12,"April",2017,483431.03125,49818.22265625,7809.12646484375,28633.462890625,13375.6318359375,18,50,13,254,882,1,2016,1,0,NA,NA,0,NA,0,NA,NA,2200,1,NA,0,-16.483227,35.240196,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,1,"NS_018",1,"NS_018",5,NA
"1258",1258,311047660101,0,0,0,0,8,7,0,3,3,0,0,0,1,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",11,"April",2017,171103.328125,0,0,0,0,17,49,13,254,882,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.483227,35.240196,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,1,"NS_018",1,"NS_018",1,NA
"1259",1259,311047660114,0,0,0,0,0,7,0,2,5,0,0,0,0,2,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",12,"April",2017,308334.84375,0,0,0,0,17,49,13,254,876,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.483227,35.240196,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,1,"NS_018",1,"NS_018",7,NA
"1260",1260,311047660127,0,0,0,0,0,5,0,0,5,2,0,0,0,0,7,5.66666666666667,"christianity",0,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",11,"April",2017,268783.5,0,0,0,0,19,51,12,254,884,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.483227,35.240196,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,1,"NS_018",1,"NS_018",3,NA
"1261",1261,311047660140,0,0,0,0,0,5,0,5,3,2,0,0,2,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",11,"April",2017,544305.375,0,0,0,0,19,51,15,253,890,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.483227,35.240196,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,1,"NS_018",1,"NS_018",6,NA
"1262",1262,311047660152,0,0,0,0,12,7,0,0,7,0,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",12,"April",2017,229159.484375,1301.52099609375,1301.52099609375,0,0,18,50,14,253,890,1,2016,1,0,NA,NA,0,NA,0,22,NA,0,0,NA,NA,-16.483227,35.240196,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,1,"NS_018",1,"NS_018",7,NA
"1263",1263,311047660165,0,0,0,0,8,7,0,2,3,2,0,0,2,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",12,"April",2017,314784.5,0,0,0,0,17,49,13,254,876,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.483227,35.240196,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,1,"NS_018",1,"NS_018",5,NA
"1264",1264,311047660178,0,0,0,0,0,7,0,3,4,0,0,0,2,1,7,6.33333333333333,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",12,"April",2017,494054.46875,18521.646484375,0,0,18521.646484375,17,49,13,255,871,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.483227,35.240196,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,1,"NS_018",1,"NS_018",6,NA
"1265",1265,311047660191,0,0,0,0,30,7,0,0,7,0,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",11,"April",2017,171731,0,0,0,0,16,48,13,255,871,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.483227,35.240196,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,1,"NS_018",1,"NS_018",6,NA
"1266",1266,311047660204,0,0,0,0,0,7,0,2,3,2,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",11,"April",2017,170354.4375,0,0,0,0,17,49,13,255,871,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.483227,35.240196,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,1,"NS_018",1,"NS_018",2,NA
"1267",1267,311047670002,0,1,1,1,70,7,0,2,5,1,2,0,7,7,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",2,0,0,"Nsanje",4,"July",2016,598698.8125,3888.32641601562,3888.32641601562,0,0,10,50,14,257,839,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.472382,35.132391,TRUE,"NS_022","School",0,1,477,0,NA,0,NA,0,NA,1,"NS_022",1,"NS_022",1,"NS_022",3,NA
"1268",1268,311047670004,0,1,1,0,76,7,7,0,6,1,0,0,0,0,7,7,"none",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",23,"June",2016,156848.203125,0,0,0,0,10,50,14,257,839,1,2016,1,0,"1",NA,0,NA,1,NA,NA,0,0,NA,NA,-16.472382,35.132391,TRUE,"NS_022","School",0,1,477,0,NA,0,NA,0,NA,1,"NS_022",1,"NS_022",1,"NS_022",6,NA
"1269",1269,311047670007,0,1,1,0,6,7,2,1,7,3,1,3,2,3,7,7,"christianity",0,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",4,"July",2016,379473.375,25922.17578125,25922.17578125,0,0,10,50,14,257,839,0,2016,0,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.472382,35.132391,TRUE,"NS_022","School",0,1,477,0,NA,0,NA,0,NA,1,"NS_022",1,"NS_022",1,"NS_022",1,NA
"1270",1270,311047670009,0,1,1,0,14,5,0,2,3,2,5,2,2,1,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,1,0,"Nsanje",4,"July",2016,466588.0625,2592.21752929688,2592.21752929688,0,0,10,50,14,257,839,1,2016,1,0,"5",NA,0,NA,1,NA,NA,0,0,NA,NA,-16.472382,35.132391,TRUE,"NS_022","School",0,1,477,0,NA,0,NA,0,NA,1,"NS_022",1,"NS_022",1,"NS_022",4,NA
"1271",1271,311047670011,0,1,1,1,65,3,0,0,7,2,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",23,"June",2016,228703.734375,0,0,0,0,10,50,16,257,839,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.472382,35.132391,TRUE,"NS_022","School",0,1,477,0,NA,0,NA,0,NA,1,"NS_022",1,"NS_022",1,"NS_022",4,NA
"1272",1272,311047670013,0,1,1,0,14,3,4,1,1,1,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",23,"June",2016,149414.3125,0,0,0,0,10,50,15,257,839,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.472382,35.132391,TRUE,"NS_022","School",0,1,477,0,NA,0,NA,0,NA,1,"NS_022",1,"NS_022",1,"NS_022",1,NA
"1273",1273,311047670017,0,1,1,0,34,6,7,1,7,0,0,0,3,3,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",2,0,0,"Nsanje",23,"June",2016,551790.375,29962.63671875,4651.7333984375,25310.90234375,0,10,50,15,257,839,1,2016,1,0,NA,NA,0,NA,0,NA,NA,1850,0,NA,NA,-16.472382,35.132391,TRUE,"NS_022","School",0,1,477,0,NA,0,NA,0,NA,1,"NS_022",1,"NS_022",1,"NS_022",10,NA
"1274",1274,311047670019,0,1,1,1,15,4,2,2,3,1,2,0,1,1,7,5.83333333333333,"none",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,1,0,"Nsanje",4,"July",2016,643251.3125,41475.48046875,5184.43505859375,36291.046875,0,10,50,14,257,839,1,2016,1,0,"17",NA,0,NA,1,NA,NA,1800,0,NA,NA,-16.472382,35.132391,TRUE,"NS_022","School",0,1,477,0,NA,0,NA,0,NA,1,"NS_022",1,"NS_022",1,"NS_022",6,NA
"1275",1275,311047670020,0,1,1,1,140,7,1,0,3,2,1,0,4,5,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,1,0,"Nsanje",4,"July",2016,725228.1875,24781.599609375,24626.06640625,155.533050537109,0,10,50,14,257,839,1,2016,1,0,NA,NA,0,NA,0,NA,NA,12,0,NA,NA,-16.472382,35.132391,TRUE,"NS_022","School",0,1,477,0,NA,0,NA,0,NA,1,"NS_022",1,"NS_022",1,"NS_022",5,NA
"1276",1276,311047670022,0,1,1,1,0,7,0,1,4,7,0,0,7,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,1,0,"Nsanje",23,"June",2016,643242,3557.2080078125,3557.2080078125,0,0,10,50,15,257,839,1,2016,0,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.472382,35.132391,TRUE,"NS_022","School",0,1,477,0,NA,0,NA,0,NA,1,"NS_022",1,"NS_022",1,"NS_022",6,NA
"1277",1277,311047670026,0,1,1,0,0,7,2,3,7,7,0,0,7,1,7,1.75,"none",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",23,"June",2016,426432.59375,13681.5693359375,13681.5693359375,0,0,10,50,14,257,839,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.472382,35.132391,TRUE,"NS_022","School",0,1,477,0,NA,0,NA,0,NA,1,"NS_022",1,"NS_022",1,"NS_022",4,NA
"1278",1278,311047670028,0,1,1,0,0,4,0,0,4,3,0,0,0,0,7,7,"none",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,1,0,"Nsanje",23,"June",2016,245830.125,2736.31372070312,2736.31372070312,0,0,10,50,13,257,839,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.472382,35.132391,TRUE,"NS_022","School",0,1,477,0,NA,0,NA,0,NA,1,"NS_022",1,"NS_022",1,"NS_022",3,NA
"1279",1279,311047670030,0,1,1,1,92,7,7,1,7,1,0,0,1,0,7,7,"christianity",0,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",4,"July",2016,392791.125,1944.16320800781,1944.16320800781,0,0,10,50,14,257,839,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.472382,35.132391,TRUE,"NS_022","School",0,1,477,0,NA,0,NA,0,NA,1,"NS_022",1,"NS_022",1,"NS_022",9,NA
"1280",1280,311047670031,0,1,1,0,10,2,0,0,3,0,0,0,0,0,5,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",23,"June",2016,79658.546875,8208.94140625,8208.94140625,0,0,10,50,14,257,839,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.472382,35.132391,TRUE,"NS_022","School",0,1,477,0,NA,0,NA,0,NA,1,"NS_022",1,"NS_022",1,"NS_022",1,NA
"1281",1281,311047670033,0,1,1,0,21,7,5,0,7,0,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",23,"June",2016,136641.40625,0,0,0,0,10,50,14,257,839,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.472382,35.132391,TRUE,"NS_022","School",0,1,477,0,NA,0,NA,0,NA,1,"NS_022",1,"NS_022",1,"NS_022",1,NA
"1282",1282,311047670035,0,1,1,0,84,2,7,0,2,0,0,0,2,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",23,"June",2016,343367.15625,75248.6328125,13681.5693359375,61567.0625,0,10,50,14,257,839,1,2016,1,0,NA,NA,0,NA,0,NA,NA,4500,0,NA,NA,-16.472382,35.132391,TRUE,"NS_022","School",0,1,477,0,NA,0,NA,0,NA,1,"NS_022",1,"NS_022",1,"NS_022",3,NA
"1283",1283,311047680003,0,5,1,0,0,6,0,3,5,0,0,0,0,1,7,7,"christianity",1,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",8,"March",2017,182704.71875,0,0,0,0,8,45,14,256,860,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.506757,35.151249,TRUE,"NS_001","School",0,1,1949,1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,NA
"1284",1284,311047680018,0,5,1,0,0,7,0,7,7,0,0,0,7,4,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",8,"March",2017,571092.3125,8777.412109375,0,0,8777.412109375,8,45,15,256,873,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.506757,35.151249,TRUE,"NS_001","School",0,1,1949,1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",3,NA
"1285",1285,311047680033,0,5,1,0,0,7,0,5,5,3,3,0,7,7,7,7,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",2,0,0,"Nsanje",9,"March",2017,874593.6875,0,0,0,0,6,66,15,260,799,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.506757,35.151249,TRUE,"NS_001","School",0,1,1949,1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",5,NA
"1286",1286,311047680048,0,5,1,0,43,7,0,3,7,3,0,0,7,7,7,7,"christianity",0,"It was just adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",2,0,0,"Nsanje",9,"March",2017,645091.6875,7361.70068359375,7361.70068359375,0,0,7,45,16,256,876,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.506757,35.151249,TRUE,"NS_001","School",0,1,1949,1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",3,NA
"1287",1287,311047680067,0,5,1,0,0,7,0,0,7,0,0,0,4,0,7,7,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",2,0,0,"Nsanje",8,"March",2017,482547.78125,24539.001953125,24539.001953125,0,0,7,45,14,256,876,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.506757,35.151249,TRUE,"NS_001","School",0,1,1949,1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",6,NA
"1288",1288,311047680079,0,5,1,0,21,7,0,3,3,1,1,1,7,7,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",2,0,0,"Nsanje",8,"March",2017,379321.59375,3680.85034179688,3680.85034179688,0,0,7,45,15,256,876,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.506757,35.151249,TRUE,"NS_001","School",0,1,1949,1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",5,NA
"1289",1289,311047680094,0,5,1,0,0,7,0,3,3,0,0,0,4,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Nsanje",9,"March",2017,81316.09375,1226.95007324219,1226.95007324219,0,0,7,45,14,256,863,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.506757,35.151249,TRUE,"NS_001","School",0,1,1949,1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,NA
"1290",1290,311047680109,0,5,1,0,0,7,0,2,4,3,4,0,4,0,7,7,"christianity",0,"It was more than adequate for household needs","It was more than adequate for household needs","It was more than adequate for household needs",1,0,0,"Nsanje",8,"March",2017,685271,2453.90014648438,2453.90014648438,0,0,7,45,14,256,863,0,2016,0,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.506757,35.151249,TRUE,"NS_001","School",0,1,1949,1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,NA
"1291",1291,311047680124,0,5,1,0,13,5,0,4,4,2,1,0,2,2,7,7,"christianity",0,"It was less than adequate for household needs","It was more than adequate for household needs","It was less than adequate for household needs",2,0,0,"Nsanje",9,"March",2017,492301.5625,0,0,0,0,7,45,14,256,876,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-16.506757,35.151249,TRUE,"NS_001","School",0,1,1949,1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",1,"NS_001",4,NA
