"","case_id","continuous_treat","binary_treat","religion","days_ate","withdraw_school","ill_2wks","agri_hours_worked","cereal_consump","roots_consump","nuts_consump","vegetables_consump","meatfish_consump","fruit_consump","milk_consump","fats_consump","sugar_consump","spices_consump","cant_feed_fam","own_nonagri_business","perception_food","perception_housing","perception_clothing","perception_healthcare","floods","real_annual_consump","health_consump","drugs_consump","outpatient_consump","hospitalization_consump","lat","lon","dist_road","dist_popcenter","wetness_index","annual_mean_temp","annual_precipitation","year2020","urban","district","sdate","smonth","syear"
"29","303015760190",0,0,"christianity",7,0,1,27,7,0,0,6,3,7,0,3,2,7,1,0,1,1,1,1,0,116790.71875,708.060974121094,0,0,708.060974121094,-15.2658004760742,35.4682006835938,8.6899995803833,21.4500007629395,13,226,1208,0,"rural","Zomba",11,11,2010
"30","303015760202",0,0,"christianity",7,0,1,4,7,7,7,7,0,7,0,7,7,7,0,0,2,1,2,2,0,159923.015625,18409.5859375,0,18409.5859375,0,-15.2658004760742,35.4682006835938,8.92000007629395,21.6800003051758,13,226,1208,0,"rural","Zomba",11,11,2010
"31","303015760213",0,0,"christianity",7,0,0,14,7,7,3,7,1,1,0,1,0,7,0,0,2,2,2,2,0,115547.9375,0,0,0,0,-15.2658004760742,35.4682006835938,8.55000019073486,21.1900005340576,16,226,1208,0,"rural","Zomba",11,11,2010
"32","303015760235",0,0,"christianity",7,0,1,49,7,1,1,7,2,0,0,0,3,7,0,0,2,1,2,2,0,128028.4296875,0,0,0,0,-15.2658004760742,35.4682006835938,8.01000022888184,20.7900009155273,14,226,1206,0,"rural","Zomba",10,11,2010
"33","303015900002",0,0,"christianity",7,0,1,0,7,4,2,4,6,3,0,2,5,7,1,0,2,1,2,2,0,282025.3125,2885.6826171875,2885.6826171875,0,0,-15.3793001174927,35.4827003479004,12.8699998855591,19.8799991607666,13,224,1295,0,"rural","Zomba",20,5,2010
"34","303015900034",0,0,"none",7,0,1,40,7,1,1,7,4,3,0,7,7,7,0,0,1,1,1,1,0,219159.890625,2308.54614257812,2308.54614257812,0,0,-15.3793001174927,35.4827003479004,12.0500001907349,19.2399997711182,14,223,1290,0,"rural","Zomba",21,5,2010
"35","303015900035",0,0,"christianity",7,0,1,10,7,0,3,5,3,0,0,1,7,7,1,0,1,2,1,1,0,210113.125,288.568267822266,288.568267822266,0,0,-15.3793001174927,35.4827003479004,12.1300001144409,19.3299999237061,14,223,1290,0,"rural","Zomba",20,5,2010
"36","303015900050",0,0,"christianity",7,0,1,0,7,7,2,3,2,4,0,0,3,7,1,0,2,1,2,2,0,335010.28125,2597.1142578125,2597.1142578125,0,0,-15.3793001174927,35.4827003479004,11.6599998474121,19.0499992370605,19,223,1283,0,"rural","Zomba",19,5,2010
"37","303015900056",0,0,"islam",7,0,0,13,7,4,3,7,4,5,0,7,7,7,0,0,1,1,1,1,0,349205.03125,216.426193237305,216.426193237305,0,0,-15.3793001174927,35.4827003479004,11.5900001525879,19.1900005340576,17,223,1283,0,"rural","Zomba",19,5,2010
"38","303015900065",0,0,"christianity",7,0,0,12,7,2,5,7,3,4,7,7,7,7,0,1,2,2,2,2,0,223998.875,887.90234375,0,0,887.90234375,-15.3793001174927,35.4827003479004,11.5299997329712,19.2000007629395,13,223,1283,0,"rural","Zomba",19,5,2010
